State	Location
Alabama	Montgomery, AL
Alaska	Palmer, AK
Arizona	Phoenix, AZ
Arkansas	Little Rock, AR
California	Woodland, CA
Colorado	Lakewood, CO
Delaware	Camden, DE
Florida	Gainesville, FL
Georgia	Athens, GA
Hawaii	Hilo, HI
Idaho	Boise, ID
Illinois	Champaign, IL
Indiana	Indianapolis, IN
Iowa	Des Moines, IA
Kansas	Topeka, KS
Kentucky	Lexington, KY
Louisiana	Alexandria, LA
Maine	Bangor, ME
Massachusetts	Amherst, MA
Michigan	East Lansing, MI
Minnesota	St. Paul, MN
Mississippi	Jackson, MS
Missouri	Columbia, MO
Montana	Bozeman, MT
Nebraska	Lincoln, NE
Nevada	Carson City, NV
New Jersey	Mt. Holly, NJ
New Mexico	Albuquerque, NM
New York	Syracuse, NY
North Carolina	Raleigh, NC
North Dakota	Bismarck, ND
